word,count,suggestion,first_file,first_line
rrr,101,err,book/appendices/linear-algebra/RnVectorsLength.tex,277
nyc,21,nyx,book/part1-linear-programming/ch03-software/software-python-book1.tex,387
real-world,21,,book/appendices/equations-and-lines/equations-and-lines-new.tex,21
by-sa,19,,book/frontmatter/ai-usage-disclosure.tex,81
non-basic,19,nonbasic,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,784
ashland,18,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,1274
mixed-integer,16,,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,134
big-m,15,,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,1647
ccc,14,csc,book/appendices/linear-algebra/RnVectorsRn.tex,121
dict,14,dick,book/part1-linear-programming/ch03-software/software-python-book1.tex,226
cmyk,12,,packages-and-commands.tex,88
rrrr,12,,book/appendices/linear-algebra/matricesMatrixArithmetic.tex,35
eulerization,11,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,2562
eulerize,11,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,2098
submatrix,11,,book/part1-linear-programming/ch05-lp-theory/formalize-LP.tex,121
ijk,10,ink,book/part1-linear-programming/ch02-modeling/modeling-sums-continued.tex,687
inv,10,in,book/part1-linear-programming/ch02-modeling/modeling-linear-programming.tex,606
moredelim,10,,packages-and-commands.tex,266
mycircle,10,,book/part1-linear-programming/ch02-modeling/modeling-sums-continued.tex,1077
nna,10,na,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,1520
ocre,10,core,packages-and-commands.tex,535
toc,10,to,book/book1-main.tex,98
bland's,9,band's,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,2375
edgelabel,9,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,404
lpsum,9,,book/part1-linear-programming/ch03-software/software-python-book1.tex,46
mcst,9,must,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,1159
non-negativity,9,,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,223
titletextcolour,9,,book/appendices/linear-algebra/license.tex,11
trade-offs,9,tradeoffs,book/part1-linear-programming/ch02-modeling/modeling-sums.tex,710
backgroundcolor,8,,packages-and-commands.tex,174
bdft,8,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,386
chem,8,them,book/part1-linear-programming/ch02-modeling/modeling-linear-programming.tex,381
dataframe,8,,book/part1-linear-programming/ch03-software/software-python-book1.tex,676
mip,8,rip,book/appendices/software-resources.tex,39
prebreak,8,,packages-and-commands.tex,248
abovelabel,7,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,383
cccc,7,,book/appendices/linear-algebra/matricesMatrixArithmeticIdentityInverses.tex,21
decision-making,7,,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,93
enlargelimits,7,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,89
graphnode,7,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,382
leftmargin,7,,packages-and-commands.tex,177
lpvariable,7,,book/part1-linear-programming/ch03-software/software-python-book1.tex,1105
makespan,7,,book/part3-integer-programming/ch11-ip-formulations/integerProgrammingFormulations-book1.tex,1267
non-linear,7,nonlinear,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,134
non-zero,7,nonzero,book/part1-linear-programming/ch01-introduction/introductionNotation.tex,47
open-source,7,,book/appendices/software-resources.tex,41
rgb,7,rob,packages-and-commands.tex,308
skipabove,7,,packages-and-commands.tex,175
skipbelow,7,,packages-and-commands.tex,176
taa,7,tea,book/part1-linear-programming/ch02-modeling/modeling-linear-programming.tex,333
varvalue,7,,book/part1-linear-programming/ch03-software/software-python-book1.tex,750
x-y,7,,book/appendices/equations-and-lines/equations-and-lines-new.tex,501
xmax,7,max,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,82
xmin,7,min,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,82
xtick,7,stick,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,84
ymax,7,max,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,83
ymin,7,yin,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,83
ytick,7,stick,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,85
basicstyle,6,,packages-and-commands.tex,243
break-even,6,breakeven,book/appendices/equations-and-lines/equations-and-lines-new.tex,30
cc-by-sa,6,,book/frontmatter/preface.tex,5
corvalis,6,corvallis,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,1282
everyline,6,,packages-and-commands.tex,183
freshbox,6,,book/part1-linear-programming/ch08-duality/complimentary-slackness.tex,441
geopandas,6,,book/part1-linear-programming/ch03-software/software-python-book1.tex,8
infoline,6,,packages-and-commands.tex,162
innerbottommargin,6,,packages-and-commands.tex,180
innerleftmargin,6,,packages-and-commands.tex,181
innertopmargin,6,,packages-and-commands.tex,179
left-hand,6,,book/part1-linear-programming/ch02-modeling/Section2.tex,1064
linecolor,6,,packages-and-commands.tex,184
linewidth,6,,packages-and-commands.tex,185
lowbound,6,,book/part1-linear-programming/ch03-software/software-python-book1.tex,1105
middlelinewidth,6,,packages-and-commands.tex,182
non-binding,6,nonbinding,book/part1-linear-programming/ch02-modeling/Section2.tex,208
nonnegativity,6,,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,112
rightmargin,6,,packages-and-commands.tex,178
t-shirt,6,,book/part1-linear-programming/ch02-modeling/modeling-linear-programming.tex,48
trade-off,6,tradeoff,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,42
tuple,6,tulle,book/part1-linear-programming/ch03-software/software-python-book1.tex,223
zend,6,end,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,1281
zstart,6,start,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,828
cbc,5,csc,book/appendices/software-resources.tex,17
ccccc,5,,book/frontmatter/LP-front-matter.tex,13
def,5,de,book/part1-linear-programming/ch03-software/software-python-book1.tex,345
epsilon-constraint,5,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,313
figsize,5,,book/part1-linear-programming/ch03-software/software-python-book1.tex,779
halfspace,5,,book/part1-linear-programming/ch05-lp-theory/formalize-LP.tex,295
key-value,5,,book/part1-linear-programming/ch03-software/software-python-book1.tex,225
knitro,5,nitro,book/appendices/software-resources.tex,18
kruskal's,5,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,1178
non-dominated,5,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,48
rnna,5,anna,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,1529
schwarz,5,schwartz,book/appendices/linear-algebra/RnVectorsDotProductDot.tex,134
t-shirts,5,,book/part1-linear-programming/ch02-modeling/modeling-linear-programming.tex,48
abovecaptionskip,4,,packages-and-commands.tex,264
attribution-sharealike,4,,book/frontmatter/sources-attribution.tex,7
belowcaptionskip,4,,packages-and-commands.tex,265
bocote,4,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,385
cccccc,4,,book/appendices/linear-algebra/matricesMatrixArithmeticProductEntry.tex,19
ccccccc,4,,book/appendices/linear-algebra/systemsofequationsAlgebraicProceduresElementaryOperations.tex,250
codebase,4,,packages-and-commands.tex,165
codecomment,4,,packages-and-commands.tex,167
codekeyword,4,,packages-and-commands.tex,166
codestring,4,,packages-and-commands.tex,168
commentstyle,4,,packages-and-commands.tex,260
frametitle,4,,packages-and-commands.tex,205
frametitleaboveskip,4,,packages-and-commands.tex,203
frametitlefont,4,,packages-and-commands.tex,202
frametitlerule,4,,packages-and-commands.tex,204
gdf,4,gd,book/part1-linear-programming/ch03-software/software-python-book1.tex,1002
keywordstyle,4,,packages-and-commands.tex,259
left-hand-side,4,,book/part1-linear-programming/ch02-modeling/modeling-linear-programming.tex,168
matrix-vector,4,,book/part1-linear-programming/ch03-software/software-python-book1.tex,635
minimum-cost,4,,book/part1-linear-programming/ch02-modeling/modeling-sums-continued.tex,74
minlps,4,,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,361
morekeywords,4,,packages-and-commands.tex,271
morestring,4,,packages-and-commands.tex,257
myarrow,4,marrow,book/part1-linear-programming/ch02-modeling/modeling-sums-continued.tex,1093
num,4,mum,book/part1-linear-programming/ch03-software/software-python-book1.tex,281
pathreplacing,4,,packages-and-commands.tex,82
recall-plus,4,,book/part1-linear-programming/ch02-modeling/modeling-linear-programming.tex,857
rrrrr,4,,book/appendices/linear-algebra/systemsofequationsAlgebraicProceduresGaussianElimination.tex,64
runtime,4,,book/part1-linear-programming/ch03-software/software-python-book1.tex,134
shadecolor,4,,packages-and-commands.tex,157
single-objective,4,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,23
stdform,4,,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,529
step-by-step,4,,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,64
stringstyle,4,,packages-and-commands.tex,261
strippackingoverlap-simple,4,,book/part3-integer-programming/ch11-ip-formulations/integerProgrammingFormulations-book1.tex,971
tie-breaking,4,,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,1490
upquote,4,unquote,packages-and-commands.tex,244
usetikz,4,,book/book1-main.tex,53
warnline,4,,packages-and-commands.tex,160
y-z,4,,book/appendices/linear-algebra/matricesMatrixArithmeticFindingInverse.tex,368
acbda,3,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,3240
aimms,3,aims,book/appendices/software-resources.tex,61
arrowstyle,3,,packages-and-commands.tex,528
bip,3,big,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,186
board-feet,3,,book/part1-linear-programming/ch07-sensitivity/sensitivity-LP.tex,882
cccccccc,3,,book/appendices/linear-algebra/systemsofequationsAlgebraicProceduresGaussianElimination.tex,788
ccccccccc,3,,book/appendices/linear-algebra/systemsofequationsAlgebraicProceduresGaussianElimination.tex,617
clsp,3,clip,book/part3-integer-programming/ch11-ip-formulations/integerProgrammingFormulations-book1.tex,123
coeff,3,coff,book/part1-linear-programming/ch07-sensitivity/sensitivity-LP.tex,925
coin-or,3,,book/appendices/software-resources.tex,43
dataframes,3,,book/part1-linear-programming/ch03-software/software-python-book1.tex,674
either-or,3,,book/part3-integer-programming/ch11-ip-formulations/integerProgrammingFormulations-book1.tex,798
elif,3,elf,book/part1-linear-programming/ch03-software/software-python-book1.tex,289
fixedcost,3,,book/part1-linear-programming/ch03-software/software-python-book1.tex,683
fleury's,3,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,2812
gaurantees,3,guarantees,book/part1-linear-programming/ch01-introduction/introduction-book.tex,15
gurobipy,3,,book/appendices/software-resources.tex,55
iii,3,wii,book/frontmatter/ai-usage-disclosure.tex,113
iterrows,3,,book/part1-linear-programming/ch03-software/software-python-book1.tex,740
litres,3,liters,book/part1-linear-programming/ch02-modeling/Section2.tex,234
lll,3,all,book/appendices/linear-algebra/RnVectorsScalarMultMeaning.tex,18
lpproblem,3,,book/part1-linear-programming/ch03-software/software-python-book1.tex,1096
lps,3,lips,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,612
non-positive,3,,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,1426
non-visited,3,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,650
nosep,3,nose,book/part1-linear-programming/ch02-modeling/Section2.tex,222
nsga-ii,3,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,691
onigsberg,3,,book/frontmatter/sources-attribution.tex,98
origsol,3,,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,244
pareto-optimal,3,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,309
per-unit,3,,book/part1-linear-programming/ch02-modeling/modeling-sums-continued.tex,78
pre-installed,3,,book/part1-linear-programming/ch03-software/software-python-book1.tex,98
prim's,3,primus,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,1612
pyplot,3,,book/part1-linear-programming/ch03-software/software-python-book1.tex,142
rrcrll,3,,book/part1-linear-programming/ch02-modeling/Section2.tex,254
rupinder,3,,book/appendices/equations-and-lines/equations-and-lines-new.tex,8
s-t,3,set,book/appendices/linear-algebra/systemsofequationsAlgebraicProceduresGaussianElimination.tex,894
second-order,3,,book/appendices/software-resources.tex,23
strippacking,3,,book/part3-integer-programming/ch11-ip-formulations/integerProgrammingFormulations-book1.tex,975
tech,3,teach,book/frontmatter/ai-usage-disclosure.tex,108
tikz-illustration,3,,book/part3-integer-programming/ch11-ip-formulations/integerProgrammingFormulations-book1.tex,430
transsol,3,,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,245
two-stage,3,,book/part1-linear-programming/ch02-modeling/modeling-sums.tex,676
uncapacitated,3,incapacitated,book/part3-integer-programming/ch11-ip-formulations/integerProgrammingFormulations-book1.tex,301
weighted-sum,3,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,721
worst-case,3,,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,400
yscale,3,scale,book/appendices/equations-and-lines/equations-and-lines-new.tex,528
z-y,3,,book/part1-linear-programming/ch02-modeling/Section2.tex,1037
abdca,2,abaca,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,3238
addto,2,,packages-and-commands.tex,109
addtoreset,2,,packages-and-commands.tex,112
alt-text,2,,book/frontmatter/ai-usage-disclosure.tex,33
ampl,2,ample,book/appendices/software-resources.tex,59
arange,2,arrange,book/part1-linear-programming/ch03-software/software-python-book1.tex,602
argmax,2,,packages-and-commands.tex,358
assertionerror,2,,packages-and-commands.tex,271
assignment-like,2,,book/part1-linear-programming/ch02-modeling/modeling-sums.tex,615
atbegindocument,2,,packages-and-commands.tex,119
attributeerror,2,,packages-and-commands.tex,271
avg,2,ave,packages-and-commands.tex,274
aviv,2,avid,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,2350
baseexception,2,,packages-and-commands.tex,271
basewidth,2,,packages-and-commands.tex,241
bi-objective,2,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,662
bogdan,2,,book/frontmatter/sources-attribution.tex,101
breaklines,2,breadlines,packages-and-commands.tex,247
built-in,2,,book/part1-linear-programming/ch03-software/software-python-book1.tex,216
calc,2,call,packages-and-commands.tex,521
canonform,2,,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,530
captionpos,2,,packages-and-commands.tex,263
cherryblossompink,2,,packages-and-commands.tex,753
clp,2,cop,book/appendices/software-resources.tex,16
crumcut,2,,book/part1-linear-programming/ch02-modeling/modeling-linear-programming.tex,333
dantzig's,2,danzig's,book/part1-linear-programming/ch06-simplex/simplex-basis-driven.tex,2740
data-driven,2,,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,95
deletekeywords,2,,packages-and-commands.tex,277
dicts,2,dicks,book/part1-linear-programming/ch03-software/software-python-book1.tex,1207
docstring,2,,book/part1-linear-programming/ch03-software/software-python-book1.tex,366
duplo,2,duple,book/part3-integer-programming/ch11-ip-formulations/integerProgrammingFormulations-book1.tex,1418
eco-friendly,2,,book/part1-linear-programming/ch08-duality/complimentary-slackness.tex,431
edgecolor,2,,book/part1-linear-programming/ch03-software/software-python-book1.tex,780
eilat,2,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,2350
element-wise,2,,book/part1-linear-programming/ch03-software/software-python-book1.tex,607
erf,2,era,packages-and-commands.tex,407
euler's,2,ruler's,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,2727
extendedchars,2,,packages-and-commands.tex,246
fileexistserror,2,,packages-and-commands.tex,271
filenotfounderror,2,,packages-and-commands.tex,271
first-choice,2,,book/part1-linear-programming/ch02-modeling/modeling-sums.tex,698
floatboxreset,2,,packages-and-commands.tex,109
framerule,2,,packages-and-commands.tex,253
framesep,2,,packages-and-commands.tex,252
fromfile,2,,packages-and-commands.tex,289
gauss-jordan,2,,book/appendices/linear-algebra/systemsofequationsAlgebraicProcedures.tex,12
geodataframe,2,,book/part1-linear-programming/ch03-software/software-python-book1.tex,1000
gpd,2,god,book/part1-linear-programming/ch03-software/software-python-book1.tex,975
graph-theory-graphics,2,,packages-and-commands.tex,708
henriksen,2,,book/frontmatter/contributors-foundations.tex,59
high-performance,2,,book/appendices/software-resources.tex,39
high-quality,2,,book/appendices/linear-algebra/LyryxOpenTexts.tex,51
hrs,2,his,book/part1-linear-programming/ch03-software/software-excel.tex,201
hyper-planes,2,hyperplanes,book/appendices/linear-algebra/systemsofequationsGeometry.tex,269
hyperparameter,2,,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,346
i-th,2,isth,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,318
iec,2,ice,packages-and-commands.tex,83
ilp,2,ill,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,199
importerror,2,,packages-and-commands.tex,271
in-house,2,,book/appendices/linear-algebra/LyryxOpenTexts.tex,95
indentationerror,2,,packages-and-commands.tex,271
indexerror,2,,packages-and-commands.tex,271
ioerror,2,,packages-and-commands.tex,271
k-means,2,,book/part1-linear-programming/ch01-introduction/mathematicalProgramming.tex,322
keyboardinterrupt,2,,packages-and-commands.tex,271
keyerror,2,,packages-and-commands.tex,271
labelformat,2,,book/part1-linear-programming/ch02-modeling/Section2.tex,215
large-scale,2,,book/part1-linear-programming/ch02-modeling/modeling-linear-programming.tex,161
lazweld,2,,book/part1-linear-programming/ch02-modeling/modeling-linear-programming.tex,333
lcc,2,lac,book/part3-integer-programming/ch11-ip-formulations/integerProgrammingFormulations-book1.tex,275
lccc,2,,book/part1-linear-programming/ch02-modeling/Section2.tex,1002
levenshtein,2,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,2554
linalg,2,,book/part1-linear-programming/ch03-software/software-python-book1.tex,644
lpminimize,2,,book/part1-linear-programming/ch03-software/software-python-book1.tex,1249
lpsolve,2,,book/appendices/software-resources.tex,16
lpstatus,2,,book/part1-linear-programming/ch03-software/software-python-book1.tex,1152
lrtb,2,,packages-and-commands.tex,249
lscstextcolour,2,,book/appendices/linear-algebra/LyryxOpenTexts.tex,14
max-min,2,maximin,book/part1-linear-programming/ch02-modeling/modeling-sums.tex,613
memoryerror,2,,packages-and-commands.tex,271
min-max,2,,book/part1-linear-programming/ch02-modeling/modeling-sums.tex,632
mindmap,2,,packages-and-commands.tex,81
moeas,2,moe's,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,687
montr,2,month,book/part3-integer-programming/ch11-ip-formulations/integerProgrammingFormulations-book1.tex,1772
morrise,2,morris,book/frontmatter/contributors-foundations.tex,69
mtav,2,,book/part1-linear-programming/ch02-modeling/modeling-sums.tex,683
multi-commodity,2,,book/part1-linear-programming/ch02-modeling/modeling-sums-continued.tex,669
multiobjective,2,,book/part1-linear-programming/ch09-multi-objective/multi-objective-optimization_updated.tex,800
nameerror,2,,packages-and-commands.tex,271
notimplemented,2,,packages-and-commands.tex,271
notimplementederror,2,,packages-and-commands.tex,271
numberfirstline,2,,packages-and-commands.tex,295
numbersep,2,,packages-and-commands.tex,294
numberstyle,2,,packages-and-commands.tex,292
one-way,2,,book/part2-discrete-algorithms/ch10-graph-theory/graphtheory-dor1.tex,314
oserror,2,,packages-and-commands.tex,271
osqp,2,,book/appendices/software-resources.tex,16
outerlinecolor,2,,packages-and-commands.tex,217
outerlinewidth,2,,packages-and-commands.tex,216
overflowerror,2,,packages-and-commands.tex,271
pdfborder,2,,packages-and-commands.tex,120
pdfborderstyle,2,,packages-and-commands.tex,121
penlab,2,,book/appendices/software-resources.tex,26
